run_accession	description
ERR2212565	NextSeq 500 paired end sequencing
ERR2212567	NextSeq 500 paired end sequencing
ERR2212569	NextSeq 500 paired end sequencing
ERR3046657	Illumina MiSeq paired end sequencing
ERR3046664	Illumina MiSeq paired end sequencing
ERR3046668	Illumina MiSeq paired end sequencing
ERR4454117	Illumina MiSeq paired end sequencing: EXP-6-1-2020-08-12_18-24-19
ERR4454119	Illumina MiSeq paired end sequencing: EXP-8-1-2020-08-12_18-24-19
ERR5555442	NextSeq 500 paired end sequencing
ERR7342125	HiSeq X Ten paired end sequencing
ERR7342129	HiSeq X Ten paired end sequencing
ERR7342149	HiSeq X Ten paired end sequencing
ERR7342165	HiSeq X Ten paired end sequencing
ERR7342176	HiSeq X Ten paired end sequencing
ERR7342179	HiSeq X Ten paired end sequencing
ERR7342181	HiSeq X Ten paired end sequencing
ERR7342200	HiSeq X Ten paired end sequencing
ERR7342207	HiSeq X Ten paired end sequencing
ERR7342234	HiSeq X Ten paired end sequencing
ERR7342237	HiSeq X Ten paired end sequencing
ERR7342238	HiSeq X Ten paired end sequencing
ERR7342244	HiSeq X Ten paired end sequencing
ERR7342245	HiSeq X Ten paired end sequencing
ERR7342249	HiSeq X Ten paired end sequencing
ERR7342252	HiSeq X Ten paired end sequencing
ERR7342255	HiSeq X Ten paired end sequencing
ERR7342257	HiSeq X Ten paired end sequencing
ERR883257	Illumina HiSeq 2500 paired end sequencing
ERR883259	Illumina HiSeq 2500 paired end sequencing
ERR883265	Illumina HiSeq 2500 paired end sequencing
ERR883272	Illumina HiSeq 2500 paired end sequencing
ERR883273	Illumina HiSeq 2500 paired end sequencing
ERR883277	Illumina HiSeq 2500 paired end sequencing
ERR883279	Illumina HiSeq 2500 paired end sequencing
ERR883284	Illumina HiSeq 2500 paired end sequencing
ERR883285	Illumina HiSeq 2500 paired end sequencing
ERR883288	Illumina HiSeq 2500 paired end sequencing
ERR883292	Illumina HiSeq 2500 paired end sequencing
ERR883293	Illumina HiSeq 2500 paired end sequencing
ERR883295	Illumina HiSeq 2500 paired end sequencing
ERR883298	Illumina HiSeq 2500 paired end sequencing
ERR883301	Illumina HiSeq 2500 paired end sequencing
